epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,1258.8,0.68804,0.65425,1.40835,0.70716,0.71857,0.78004,0.6478,0.71814,0.86112,1.57006,0.000877823,0.000877823,0.000877823
108,1270.46,0.68743,0.6557,1.40337,0.78368,0.73585,0.81899,0.68665,0.6926,0.78083,1.55093,0.000875624,0.000875624,0.000875624
109,1282.06,0.69996,0.68191,1.43601,0.77687,0.75386,0.83707,0.7026,0.68676,0.73897,1.54849,0.000873424,0.000873424,0.000873424
110,1294.01,0.68254,0.65818,1.41896,0.78253,0.74263,0.83093,0.69449,0.69077,0.75358,1.56536,0.000871224,0.000871224,0.000871224
111,1305.67,0.69037,0.65983,1.4212,0.78451,0.74747,0.83599,0.70561,0.68685,0.73048,1.55302,0.000869024,0.000869024,0.000869024
112,1317.63,0.69661,0.65663,1.45795,0.80253,0.72258,0.81881,0.68985,0.69375,0.77027,1.55348,0.000866824,0.000866824,0.000866824
113,1329.27,0.69144,0.66238,1.40784,0.76973,0.73572,0.8116,0.68535,0.69293,0.78356,1.57484,0.000864625,0.000864625,0.000864625
114,1340.97,0.67316,0.64325,1.42127,0.78589,0.76596,0.84187,0.71038,0.67169,0.72017,1.54938,0.000862425,0.000862425,0.000862425
115,1352.96,0.67446,0.63286,1.42888,0.76555,0.7465,0.81935,0.68446,0.68766,0.79475,1.56112,0.000860225,0.000860225,0.000860225
116,1364.63,0.64913,0.61745,1.41425,0.7895,0.75978,0.84255,0.71035,0.66617,0.7198,1.53515,0.000858025,0.000858025,0.000858025
117,1376.61,0.64302,0.60911,1.40298,0.79137,0.76044,0.83935,0.70948,0.66638,0.71564,1.54408,0.000855826,0.000855826,0.000855826
118,1388.35,0.65678,0.62595,1.38512,0.75263,0.70397,0.78455,0.65619,0.70846,0.86313,1.5767,0.000853626,0.000853626,0.000853626
119,1400.03,0.66219,0.62515,1.39817,0.77579,0.73898,0.81707,0.68755,0.67761,0.78119,1.55323,0.000851426,0.000851426,0.000851426
120,1411.7,0.66324,0.61143,1.40314,0.7847,0.73601,0.82326,0.69133,0.67858,0.76078,1.56601,0.000849226,0.000849226,0.000849226
121,1423.36,0.64817,0.61417,1.37937,0.7657,0.73945,0.8183,0.69268,0.67576,0.77546,1.55251,0.000847026,0.000847026,0.000847026
122,1435.06,0.6681,0.62346,1.41552,0.79288,0.74941,0.83705,0.70401,0.68493,0.72227,1.55285,0.000844827,0.000844827,0.000844827
123,1446.73,0.66785,0.62898,1.41748,0.76503,0.73662,0.81448,0.68017,0.70371,0.78152,1.55546,0.000842627,0.000842627,0.000842627
124,1458.41,0.66067,0.61628,1.41223,0.77862,0.75494,0.82707,0.69696,0.67243,0.73755,1.54991,0.000840427,0.000840427,0.000840427
125,1470.04,0.65365,0.60514,1.40925,0.76166,0.74339,0.80825,0.68104,0.69286,0.79564,1.54811,0.000838227,0.000838227,0.000838227
126,1481.7,0.67106,0.61733,1.41843,0.79398,0.76343,0.83948,0.70712,0.67955,0.71315,1.55175,0.000836027,0.000836027,0.000836027
127,1493.34,0.65807,0.61613,1.38997,0.77701,0.75936,0.83498,0.70737,0.68704,0.74346,1.54259,0.000833828,0.000833828,0.000833828
128,1504.99,0.65067,0.60755,1.37406,0.78592,0.73256,0.82493,0.69676,0.6798,0.75202,1.56065,0.000831628,0.000831628,0.000831628
129,1516.71,0.64607,0.60844,1.38376,0.7954,0.75635,0.83998,0.70741,0.66898,0.7167,1.5413,0.000829428,0.000829428,0.000829428
130,1528.36,0.66017,0.63737,1.40862,0.77179,0.74219,0.81538,0.68341,0.68619,0.77814,1.56446,0.000827228,0.000827228,0.000827228
131,1540.04,0.68186,0.63705,1.39615,0.79043,0.73798,0.83239,0.70007,0.67644,0.74391,1.54083,0.000825029,0.000825029,0.000825029
132,1551.69,0.67597,0.6226,1.42451,0.78974,0.75473,0.83807,0.70735,0.66853,0.72115,1.55477,0.000822829,0.000822829,0.000822829
